Date,Total_cases,New_cases
2020/10/23,24430,149
2020/10/24,24499,69
2020/10/25,24554,55
2020/10/26,24709,155
2020/10/27,24896,187
2020/10/28,25057,161
2020/10/29,25163,106
2020/10/30,25209,46
2020/10/31,25227,18
2020/11/01,25233,6
